rxn_IDs	rxnNames	slope	grRules	rxn_formula
ASPK	aspartokinase	4.61997547357391	Cgl0251	L-Aspartate[c] + ATP[c] + 0.19296 prot_pool[c] => 4-Phospho-L-aspartate[c] + ADP[c]
FUM	fumarase	4.35313688912849	Cgl1010	Fumarate[c] + H2O[c] + 0.001821 prot_pool[c] => L-Malate[c]
MDH	malate dehydrogenase	4.35313688912849	Cgl2380	L-Malate[c] + Nicotinamide adenine dinucleotide[c] + 0.00052621 prot_pool[c] => H+[c] + Nicotinamide adenine dinucleotide - reduced[c] + Oxaloacetate[c]
MTHFC	methenyltetrahydrofolate cyclohydrolase	3.56416360410858	Cgl0648	H2O[c] + 5,10-Methenyltetrahydrofolate[c] + 0.14255 prot_pool[c] => 10-Formyltetrahydrofolate[c] + H+[c]
MTHFD	methylenetetrahydrofolate dehydrogenase (NADP)	3.56416360410858	Cgl0648	5,10-Methylenetetrahydrofolate[c] + Nicotinamide adenine dinucleotide phosphate[c] + 0.22078 prot_pool[c] => 5,10-Methenyltetrahydrofolate[c] + Nicotinamide adenine dinucleotide phosphate - reduced[c]
GHMT2r	glycine hydroxymethyltransferase, reversible	3.51670615067559	Cgl0996	L-Serine[c] + 5,6,7,8-Tetrahydrofolate[c] + 0.0018926 prot_pool[c] => Glycine[c] + H2O[c] + 5,10-Methylenetetrahydrofolate[c]
HSDy_REV	homoserine dehydrogenase (NADPH) (reversible)	3.23428210572644	Cgl1183	L-Aspartate 4-semialdehyde[c] + H+[c] + Nicotinamide adenine dinucleotide phosphate - reduced[c] + 0.011188 prot_pool[c] => L-Homoserine[c] + Nicotinamide adenine dinucleotide phosphate[c]
PRPPS	phosphoribosylpyrophosphate synthetase	2.93523186985664	Cgl0942	ATP[c] + alpha-D-Ribose 5-phosphate[c] + 0.1151 prot_pool[c] => AMP[c] + H+[c] + 5-Phospho-alpha-D-ribose 1-diphosphate[c]
HSK	homoserine kinase	2.77787090789851	Cgl1183 and Cgl1184	ATP[c] + L-Homoserine[c] + 8.1864 prot_pool[c] => ADP[c] + H+[c] + O-Phospho-L-homoserine[c]
THRS	threonine synthase	2.77787090789851	Cgl2220	H2O[c] + O-Phospho-L-homoserine[c] + 0.74313 prot_pool[c] => Phosphate[c] + L-Threonine[c]
ACLS	acetolactate synthase	2.76384112904022	Cgl1271 and Cgl1272	H+[c] + 2 Pyruvate[c] + 4.9454 prot_pool[c] => (S)-2-Acetolactate[c] + CO2[c]
DHAD1	dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylbutanoate)	2.76384112904022	Cgl1268	(R)-2,3-Dihydroxy-3-methylbutanoate[c] + 0.12182 prot_pool[c] => 3-Methyl-2-oxobutanoate[c] + H2O[c]
KARA1_REV	ketol-acid reductoisomerase (2,3-dihydroxy-3-methylbutanoate) (reversible)	2.76384112904022	Cgl1273	(S)-2-Acetolactate[c] + H+[c] + Nicotinamide adenine dinucleotide phosphate - reduced[c] + 18.1331 prot_pool[c] => (R)-2,3-Dihydroxy-3-methylbutanoate[c] + Nicotinamide adenine dinucleotide phosphate[c]
NDPK1	nucleoside-diphosphate kinase (ATP:GDP)	2.64597532607326	Cgl2370	ATP[c] + GDP[c] + 0.0040633 prot_pool[c] => ADP[c] + GTP[c]
